RegionName,Median Household Income
United States,"75,149"
Puerto Rico,"24,002"
Mississippi,"52,985"
West Virginia,"55,217"
Arkansas,"56,335"
Louisiana,"57,852"
New Mexico,"58,722"
Alabama,"59,609"
Kentucky,"60,183"
Oklahoma,"61,364"
South Carolina,"63,623"
Tennessee,"64,035"
Missouri,"65,920"
North Carolina,"66,186"
Montana,"66,341"
Ohio,"66,990"
Indiana,"67,173"
Florida,"67,917"
Maine,"68,251"
Michigan,"68,505"
South Dakota,"69,457"
Kansas,"69,747"
Idaho,"70,214"
Iowa,"70,571"
Georgia,"71,355"
Nevada,"71,646"
Nebraska,"71,722"
Wisconsin,"72,458"
Wyoming,"72,495"
Arizona,"72,581"
Texas,"73,035"
Pennsylvania,"73,170"
North Dakota,"73,959"
Vermont,"74,014"
Oregon,"76,632"
Illinois,"78,433"
Delaware,"79,325"
Rhode Island,"81,370"
New York,"81,386"
Minnesota,"84,313"
Alaska,"86,370"
Utah,"86,833"
Virginia,"87,249"
Colorado,"87,598"
Connecticut,"90,213"
Washington,"90,325"
New Hampshire,"90,845"
California,"91,905"
Hawaii,"94,814"
Massachusetts,"96,505"
New Jersey,"97,126"
Maryland,"98,461"
District of Columbia,"101,722"
