RegionName,Median Household Income,Rank
United States,"75,149",N/A
"Issaquena County, Mississippi","17,900","3,142"
Puerto Rico,"24,002","3,141"
"Randolph County, Georgia","24,638","3,140"
"Jackson County, South Dakota","26,078","3,139"
"Dimmit County, Texas","27,374","3,138"
"McDowell County, West Virginia","28,235","3,137"
"Wolfe County, Kentucky","28,666","3,136"
"Holmes County, Mississippi","28,818","3,135"
"Presidio County, Texas","29,012","3,134"
"Brooks County, Texas","30,566","3,133"
"East Carroll Parish, Louisiana","30,856","3,132"
"Quitman County, Mississippi","31,192","3,131"
"Jenkins County, Georgia","31,463","3,130"
"Jefferson County, Mississippi","31,544","3,129"
"Lee County, Kentucky","31,682","3,128"
"Sumter County, Alabama","31,726","3,127"
"Hancock County, Georgia","31,767","3,126"
"Hancock County, Tennessee","31,809","3,125"
"Humphreys County, Mississippi","31,907","3,124"
"Magoffin County, Kentucky","31,927","3,123"
"Claiborne Parish, Louisiana","32,034","3,122"
"Lake County, Tennessee","32,064","3,121"
"Oglala Lakota County, South Dakota","32,279","3,120"
"Perry County, Alabama","32,332","3,119"
"Greene County, Alabama","32,796","3,118"
"Owsley County, Kentucky","32,844","3,117"
"Leflore County, Mississippi","33,115","3,116"
"Lowndes County, Alabama","33,125","3,115"
"Hickory County, Missouri","33,302","3,114"
"Piute County, Utah","33,359","3,113"
"Bell County, Kentucky","33,658","3,112"
"Todd County, South Dakota","33,792","3,111"
"Lee County, Arkansas","33,801","3,110"
"Macon County, Georgia","33,960","3,109"
"Knox County, Kentucky","34,254","3,108"
"Webster Parish, Louisiana","34,263","3,107"
"Bienville Parish, Louisiana","34,268","3,106"
"Marlboro County, South Carolina","34,275","3,105"
"Claiborne County, Mississippi","34,282","3,104"
"Madison Parish, Louisiana","34,508","3,103"
"Evangeline Parish, Louisiana","34,526","3,102"
"Costilla County, Colorado","34,578","3,101"
"DeBaca County, New Mexico","34,702","3,100"
"Amite County, Mississippi","34,866","3,099"
"Wayne County, Mississippi","34,875","3,098"
"Wilkinson County, Mississippi","34,928","3,097"
"McCreary County, Kentucky","35,000","3,095"
"Webster County, Georgia","35,000","3,095"
"Zapata County, Texas","35,061","3,094"
"Harlan County, Kentucky","35,128","3,093"
"Hudspeth County, Texas","35,163","3,092"
"Sierra County, New Mexico","35,256","3,091"
"Tallahatchie County, Mississippi","35,428","3,090"
"Briscoe County, Texas","35,446","3,089"
"Fulton County, Kentucky","35,449","3,088"
"Tensas Parish, Louisiana","35,653","3,087"
"Hale County, Alabama","35,851","3,086"
"Culberson County, Texas","35,924","3,085"
"Marion County, South Carolina","35,972","3,084"
"Starr County, Texas","35,979","3,083"
"Coahoma County, Mississippi","36,075","3,082"
"Bullock County, Alabama","36,136","3,081"
"Wheeler County, Georgia","36,354","3,080"
"Jefferson Davis County, Mississippi","36,473","3,079"
"Chicot County, Arkansas","36,593","3,078"
"Lewis County, Kentucky","36,662","3,077"
"Montgomery County, Mississippi","36,845","3,076"
"Norton City, Virginia","36,974","3,075"
"Lincoln Parish, Louisiana","37,001","3,074"
"Leslie County, Kentucky","37,019","3,073"
"Allendale County, South Carolina","37,096","3,072"
"Walthall County, Mississippi","37,145","3,071"
"Dallas County, Alabama","37,180","3,070"
"Glades County, Florida","37,221","3,069"
"Adams County, Mississippi","37,271","3,068"
"Butte County, Idaho","37,358","3,067"
"Sunflower County, Mississippi","37,403","3,066"
"Clay County, Mississippi","37,412","3,065"
"Pemiscot County, Missouri","37,426","3,064"
"Phillips County, Arkansas","37,458","3,063"
"Apache County, Arizona","37,483","3,062"
"Stone County, Arkansas","37,664","3,061"
"Bolivar County, Mississippi","37,845","3,060"
"Morehouse Parish, Louisiana","37,875","3,059"
"Clay County, Kentucky","37,888","3,058"
"Atkinson County, Georgia","38,007","3,057"
"Desha County, Arkansas","38,067","3,056"
"Jeff Davis County, Texas","38,125","3,055"
"Wilcox County, Alabama","38,208","3,054"
"Breathitt County, Kentucky","38,209","3,053"
"Luna County, New Mexico","38,241","3,052"
"Ben Hill County, Georgia","38,255","3,051"
"Mingo County, West Virginia","38,305","3,050"
"Knott County, Kentucky","38,336","3,049"
"Washington County, Mississippi","38,394","3,048"
"Marion County, Mississippi","38,399","3,047"
"Powell County, Kentucky","38,415","3,046"
"Letcher County, Kentucky","38,466","3,045"
"Jackson County, Kentucky","38,516","3,044"
"Green County, Kentucky","38,595","3,043"
"Treutlen County, Georgia","38,641","3,042"
"Jackson County, Colorado","38,686","3,041"
"Avoyelles Parish, Louisiana","38,696","3,040"
"Guadalupe County, New Mexico","38,713","3,039"
"Floyd County, Kentucky","38,723","3,038"
"Benton County, Mississippi","38,750","3,037"
"Newton County, Texas","38,871","3,036"
"Quitman County, Georgia","38,889","3,035"
"Sumter County, Georgia","38,899","3,034"
"Fulton County, Arkansas","38,917","3,033"
"Washington County, North Carolina","38,927","3,032"
"Concordia Parish, Louisiana","38,929","3,031"
"Quay County, New Mexico","38,998","3,030"
"Calhoun County, West Virginia","39,031","3,029"
"Lee County, South Carolina","39,099","3,028"
"Ozark County, Missouri","39,125","3,027"
"Martinsville City, Virginia","39,127","3,026"
"Robeson County, North Carolina","39,393","3,025"
"Elliott County, Kentucky","39,469","3,024"
"Harding County, New Mexico","39,489","3,023"
"Clay County, Tennessee","39,572","3,022"
"Buchanan County, Virginia","39,591","3,021"
"Turner County, Georgia","39,666","3,020"
"Barbour County, Alabama","39,712","3,019"
"Scott County, Tennessee","39,744","3,018"
"St. Francis County, Arkansas","39,822","3,017"
"Conecuh County, Alabama","39,888","3,016"
"Monroe County, Alabama","39,965","3,015"
"Lanier County, Georgia","39,971","3,014"
"Estill County, Kentucky","39,980","3,013"
"Dallas County, Arkansas","40,085","3,012"
"Pike County, Mississippi","40,131","3,011"
"Dickenson County, Virginia","40,143","3,010"
"Hampton County, South Carolina","40,157","3,009"
"Covington County, Mississippi","40,164","3,008"
"Brantley County, Georgia","40,166","3,007"
"Chickasaw County, Mississippi","40,224","3,006"
"Coke County, Texas","40,230","3,005"
"Mora County, New Mexico","40,231","3,004"
"Lafayette County, Arkansas","40,262","3,003"
"Swisher County, Texas","40,290","3,002"
"Alexander County, Illinois","40,365","3,001"
"Jackson Parish, Louisiana","40,406","3,000"
"Bladen County, North Carolina","40,476","2,999"
"Cumberland County, Kentucky","40,515","2,998"
"Crowley County, Colorado","40,685","2,997"
"Esmeralda County, Nevada","40,694","2,996"
"Socorro County, New Mexico","40,699","2,995"
"Taylor County, Georgia","40,727","2,994"
"Wilkinson County, Georgia","40,757","2,993"
"Sabine Parish, Louisiana","40,777","2,992"
"Edwards County, Texas","40,809","2,991"
"Mississippi County, Missouri","40,833","2,990"
"Williamsburg County, South Carolina","40,848","2,989"
"Menard County, Texas","40,945","2,988"
"Sharkey County, Mississippi","41,000","2,987"
"Orangeburg County, South Carolina","41,020","2,986"
"Pulaski County, Illinois","41,038","2,985"
"Glacier County, Montana","41,078","2,984"
"Lawrence County, Mississippi","41,096","2,983"
"Franklin Parish, Louisiana","41,129","2,982"
"Escambia County, Alabama","41,153","2,981"
"Clinton County, Kentucky","41,180","2,980"
"Sioux County, North Dakota","41,201","2,979"
"Macon County, Alabama","41,206","2,978"
"Pike County, Kentucky","41,271","2,977"
"Roane County, West Virginia","41,299","2,976"
"Natchitoches Parish, Louisiana","41,310","2,975"
