RegionName,StateName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United States,,120663.1901,128444.2553,137155.9114,146752.4394,158141.4763,175146.345,194761.8342,203342.5348,198427.7175,179930.4378,169325.8331,163405.9573,156172.693,162116.5489,174621.124,183217.7562,195112.2128,205738.9032,218969.0356,231314.5434,243415.0662,269205.244,312191.838,337214.5132,348089.245
"New York, NY",NY,215778.4911,240392.3385,270054.5845,308393.3366,350216.9491,398852.7183,451707.9621,463341.9582,449333.0257,415400.2642,389802.2314,383685.0851,365972.0685,367311.4998,383165.804,399288.6168,417769.3377,432454.1001,454840.3167,475108.1966,494301.1697,531476.8676,587695.2257,619038.7154,653788.1379
"Los Angeles, CA",CA,227480.8698,251089.3767,277570.9845,326505.8858,390202.3107,491809.4679,579689.9797,603851.4108,549513.1516,428563.234,414071.869,401165.8836,380296.1352,412920.254,482741.5871,519087.0063,509620.9523,545612.7907,613983.759,672551.5998,683490.5234,753553.361,860123.6326,898616.4542,955529.9343
"Chicago, IL",IL,154352.2912,166328.6147,179970.6764,193885.5616,208524.9533,226684.4302,247433.7368,256969.1504,251871.5796,224439.9186,201760.8568,187156.0261,172041.1689,168936.7635,186864.2188,196733.478,206638.5581,216109.7741,228085.2322,235408.4684,240904.397,258579.6164,285953.1314,301129.0387,319360.7934
"Dallas, TX",TX,126340.5089,129716.9047,130350.3753,135623.6278,137882.964,147217.2773,149836.3341,154269.2873,155712.9118,147380.1764,148317.8431,143705.6654,140031.0553,147974.5484,160398.4834,173394.555,193967.9158,215145.2925,235554.0379,248438.9464,256004.6997,277912.1794,336233.8361,373356.7792,372084.9173
"Houston, TX",TX,123687.4826,126283.3755,126513.017,131843.1342,134918.8975,145728.8721,148271.1631,153913.0569,156932.1554,150476.6294,151253.7859,147279.1764,142064.0075,145385.4072,160090.7747,178291.1682,193836.6482,201774.1055,208862.0011,218313.0507,225962.6608,241823.3524,282943.299,310201.6201,309289.2541
"Washington, DC",VA,187557.7736,202604.6873,228036.1464,261014.8337,298955.4048,365887.458,440238.4768,445978.9355,413009.518,347523.1469,328339.0952,327298.5404,323653.5533,347173.4969,374559.0261,385282.6121,395663.1365,405109.4222,419273.81,432961.1866,449303.6932,490608.5178,535526.3896,555841.6159,575677.8954
"Philadelphia, PA",PA,121812.7099,127782.0099,137127.1157,152284.2153,171893.7124,197689.0397,225858.0936,237270.8639,236851.8289,223969.6279,217372.9561,210039.5115,198076.3981,196334.8747,202605.3992,205488.592,213389.7536,221786.9,231865.4333,240073.4505,251128.3125,278754.9717,306040.4941,330424.9777,352806.4485
"Miami, FL",FL,131296.4511,140544.8163,159220.2856,180353.5728,209328.1793,253071.2856,320632.0485,352816.6622,310675.417,232505.7502,194950.9346,182838.5762,174733.5125,186221.4675,220561.4515,246644.7922,271332.8883,292718.6016,316122.777,334403.7313,346578.7518,376673.1631,449190.4808,522593.3755,560234.0128
"Atlanta, GA",GA,145787.5883,156438.4099,165576.384,171393.427,175337.752,180391.6084,187593.8741,193588.8356,192383.2849,172903.6595,153594.7482,140084.1387,126436.8112,132182.6654,155453.1576,169767.7012,183575.9115,197017.8489,213794.7836,232007.425,244787.0442,272006.2058,335503.3225,369359.8802,380403.9685
"Boston, MA",MA,224283.9564,255942.0983,293909.4231,330696.6669,362203.6297,393991.45,409722.1126,387889.9685,371587.8595,345039.7179,338758.9421,337931.1201,323466.329,337571.0301,364239.6713,381343.6963,407935.0313,432861.6017,461459.2418,482532.2355,495238.3061,550366.6848,603224.6145,641384.6391,694012.9118
"Phoenix, AZ",AZ,143573.7729,151753.1365,159545.8403,167277.9749,176721.9698,203988.9073,292170.5856,295179.0505,267354.4402,191698.0486,162693.7898,144945.1438,137993.5126,169150.0892,201035.8371,209198.6093,229531.8557,243207.6412,260162.0322,280237.7746,298506.3066,344852.0982,445185.3764,456296.4202,460629.0167
"San Francisco, CA",CA,298704.5726,361560.457,397317.319,435368.8446,474424.9068,569977.9762,655580.5498,655325.2553,609506.6702,518345.9996,490805.5619,477451.1308,444923.6082,505205.2551,607665.1602,679274.6583,778738.0441,814190.2134,900221.3147,954852.4016,956123.3438,1040652.597,1196696.889,1168350.365,1180382.017
"Riverside, CA",CA,136023.0196,148851.8196,165971.4754,190845.2504,229536.7801,301900.9739,365076.2864,388545.0376,340386.5308,220561.2287,191044.6753,193030.9846,184676.518,199936.8929,254421.2464,281058.7943,296580.913,306091.2701,353741.6101,372265.823,384464.8051,429747.1792,522397.4365,552525.5584,573072.4011
"Detroit, MI",MI,119357.6646,128999.8845,136715.8882,141397.8517,146428.005,151217.5638,154093.1318,150009.9047,137199.6749,108816.4281,87919.45932,82246.5969,77832.34975,86629.10772,107020.3234,118012.9971,129155.0439,140473.9004,153848.2638,165224.4333,175120.3239,193501.6319,213651.9082,225678.2025,237718.5673
